ra;fase;turma;nome_anonimizado;idade_aprox;genero;ano_ingresso;instituicao_de_ensino;pedra;inde;iaa;ieg;ips;ida;mat;por;ing;ipv;ian;fase_ideal;defasagem;ano_coleta;ipp;ativo_inativo
RA-529;1;D;Aluno-529;12;Masculino;2020;Pública;Ágata;6,51;8,5;8,9;5;5,2;3,3;7;;6,56;5;3;-2;2022;;Ativo
RA-530;1;E;Aluno-530;10;Masculino;2019;Pública;Topázio;8,34;10;9;7,5;8,9;9;8,8;;9,06;5;2;-1;2022;;Ativo
RA-531;1;E;Aluno-531;10;Masculino;2022;Pública;Ametista;8,06;9,5;9,8;7,5;7,8;8,7;7;;8,17;5;2;-1;2022;;Ativo
RA-532;1;E;Aluno-532;9;Feminino;2022;Pública;Ametista;7,79;9,5;9,7;7,5;5,5;4;7;;7,17;10;1;0;2022;;Ativo
RA-533;1;E;Aluno-533;10;Masculino;2022;Pública;Ágata;6,96;8,5;8,8;5,6;6;5;7;;7,33;5;2;-1;2022;;Ativo
RA-534;1;E;Aluno-534;12;Feminino;2021;Pública;Ametista;7,13;9;7,4;7,5;7,1;6,5;7,7;;7,33;5;3;-2;2022;;Ativo
RA-535;1;F;Aluno-535;10;Feminino;2019;Pública;Ágata;6,95;9;9,2;7,5;5,1;4,7;5,5;;6,92;5;2;-1;2022;;Ativo
RA-536;1;F;Aluno-536;10;Feminino;2020;Pública;Ametista;7,11;9,5;8,9;5,6;6;6,3;5,7;;7,75;5;2;-1;2022;;Ativo
RA-537;1;F;Aluno-537;10;Masculino;2022;Pública;Ágata;6,64;9,5;9;4,4;4,8;2,5;7;;7,17;5;2;-1;2022;;Ativo
RA-538;1;F;Aluno-538;13;Masculino;2022;Pública;Ágata;6,31;8,5;7,5;5,6;6,8;4,5;9;;5,58;5;3;-2;2022;;Ativo
RA-539;1;F;Aluno-539;11;Feminino;2022;Pública;Ametista;7,66;8,5;9,3;6,9;7,5;6,8;8,2;;8,42;5;2;-1;2022;;Ativo
RA-540;1;F;Aluno-540;10;Feminino;2019;Pública;Ametista;7,3;8,5;9,5;5,6;7;6,8;7,2;;7,5;5;2;-1;2022;;Ativo
RA-541;1;F;Aluno-541;14;Masculino;2022;Pública;Quartzo;5,43;10;7,8;6,9;2,5;0;5;;5;2,5;4;-3;2022;;Ativo
RA-542;1;F;Aluno-542;11;Feminino;2019;Pública;Ametista;7,22;8;9,8;6,3;6,5;5,3;7,7;;7,42;5;2;-1;2022;;Ativo
RA-543;1;F;Aluno-543;10;Feminino;2022;Pública;Ametista;7,05;8,5;9,8;4,4;6,5;5;8;;7,17;5;2;-1;2022;;Ativo
RA-544;1;F;Aluno-544;10;Masculino;2022;Pública;Ágata;6,31;9,5;9,7;5,6;3,3;1;5,5;;6;5;2;-1;2022;;Ativo
RA-545;1;G;Aluno-545;13;Masculino;2018;Pública;Ágata;6,72;9,5;6,6;7,5;5,5;4,3;6,7;;7,5;5;3;-2;2022;;Ativo
RA-546;1;G;Aluno-546;11;Feminino;2021;Pública;Ágata;6,77;9;7,9;5;5,6;3,3;7,8;;7,92;5;2;-1;2022;;Ativo
RA-547;1;G;Aluno-547;11;Feminino;2019;Pública;Ametista;7,74;9,5;9,7;5;7,6;7,3;7,8;;8,83;5;2;-1;2022;;Ativo
RA-548;1;G;Aluno-548;12;Masculino;2019;Pública;Ametista;7,29;8;9,1;6,9;7,2;5,7;8,7;;7,58;5;3;-2;2022;;Ativo
RA-549;1;G;Aluno-549;10;Masculino;2021;Pública;Ágata;6,3;10;7,9;6,9;4,2;2,2;6,2;;6,17;5;2;-1;2022;;Ativo
RA-550;1;G;Aluno-550;12;Feminino;2022;Pública;Ágata;6,03;9;9;6,9;1,9;2;1,8;;6,25;5;3;-2;2022;;Ativo
RA-551;1;G;Aluno-551;12;Feminino;2018;Pública;Ágata;6,85;8,5;7,3;6,9;6,6;5;8,2;;7,33;5;3;-2;2022;;Ativo
RA-552;1;G;Aluno-552;11;Masculino;2022;Pública;Ágata;6,62;9,5;8,8;5;5,5;6;5;;7,17;5;2;-1;2022;;Ativo
RA-553;1;G;Aluno-553;11;Feminino;2019;Pública;Ágata;6,39;9,5;6,9;6,9;3,3;1;5,7;;8,17;5;2;-1;2022;;Ativo
RA-554;1;G;Aluno-554;12;Masculino;2017;Pública;Quartzo;5,59;7,9;6;6,9;4;1,7;6,3;;5,75;5;3;-2;2022;;Ativo
RA-555;1;G;Aluno-555;12;Masculino;2019;Pública;Quartzo;5,95;9,5;8,1;5;4,4;1,8;7;;5,17;5;3;-2;2022;;Ativo
RA-556;1;G;Aluno-556;11;Feminino;2018;Pública;Ametista;7,18;9;8,8;5;6,4;4,8;8;;8,25;5;2;-1;2022;;Ativo
RA-557;1;H;Aluno-557;10;Masculino;2019;Pública;Topázio;8,33;10;8,4;7,5;9,4;10;8,8;;9,33;5;2;-1;2022;;Ativo
RA-558;1;H;Aluno-558;14;Masculino;2022;Pública;Quartzo;5,54;9;8,5;5;4,3;0,5;8;;4,5;2,5;4;-3;2022;;Ativo
RA-559;1;H;Aluno-559;11;Masculino;2021;Pública;Ametista;7,63;9,5;9,2;7,5;7,1;7,2;7;;8,08;5;2;-1;2022;;Ativo
RA-560;1;H;Aluno-560;11;Masculino;2020;Pública;Quartzo;4,95;6,9;7,2;5;3,8;3,2;4,3;;3,75;5;2;-1;2022;;Ativo
RA-561;1;H;Aluno-561;11;Masculino;2022;Pública;Ametista;7,86;9;9;7,5;7,4;9,5;5,3;;8,83;5;2;-1;2022;;Ativo
RA-562;1;H;Aluno-562;11;Feminino;2021;Pública;Ametista;7,86;8;9;7,5;8;8,3;7,7;;8,75;5;2;-1;2022;;Ativo
RA-563;1;H;Aluno-563;11;Feminino;2020;Pública;Topázio;8,22;10;9,2;7,5;8,5;9;8;;8,83;5;2;-1;2022;;Ativo
RA-564;1;H;Aluno-564;13;Masculino;2019;Pública;Quartzo;4,97;9,5;3,8;5;2,3;2,5;2;;6,83;5;3;-2;2022;;Ativo
RA-565;1;H;Aluno-565;13;Masculino;2022;Pública;Quartzo;5,23;9;4,1;7,5;2,9;4;1,8;;5,92;5;3;-2;2022;;Ativo
RA-566;1;H;Aluno-566;12;Feminino;2022;Pública;Ametista;7,73;9,5;8,4;7,5;8,5;9,5;7,5;;7,92;5;3;-2;2022;;Ativo
RA-567;1;H;Aluno-567;11;Masculino;2019;Pública;Ágata;6,28;9,5;6;7,5;4,8;4,3;5,2;;6,83;5;2;-1;2022;;Ativo
RA-568;1;J;Aluno-568;14;Masculino;2018;Pública;Ametista;7,31;8;8,6;6,9;8,3;8;8,5;;7,94;2,5;4;-3;2022;;Ativo
RA-569;1;J;Aluno-569;12;Feminino;2020;Pública;Ametista;7,07;9,5;8,7;5;6,8;6,3;7,3;;7,33;5;3;-2;2022;;Ativo
RA-570;1;J;Aluno-570;10;Feminino;2019;Pública;Quartzo;5,72;9;7;7,5;1,3;0,7;2;;6,78;5;2;-1;2022;;Ativo
RA-571;1;J;Aluno-571;11;Feminino;2019;Pública;Ágata;6,59;8,5;8,8;7,5;3,7;3,3;4;;6,94;5;2;-1;2022;;Ativo
RA-572;1;J;Aluno-572;9;Masculino;2022;Pública;Ametista;7,48;8,5;8;7,5;6,8;4,5;9;;6,83;10;1;0;2022;;Ativo
RA-573;1;J;Aluno-573;11;Masculino;2020;Pública;Topázio;8,26;9,5;9,9;7,5;8,2;8,3;8;;8,94;5;2;-1;2022;;Ativo
RA-574;1;J;Aluno-574;10;Masculino;2022;Pública;Ágata;6,86;9,5;7,2;5;7,5;5,5;9,5;;6,94;5;2;-1;2022;;Ativo
RA-575;1;J;Aluno-575;12;Masculino;2019;Pública;Quartzo;5,89;8;6,1;7,5;2,8;2,7;3;;7;5;3;-2;2022;;Ativo
RA-576;1;J;Aluno-576;10;Feminino;2022;Pública;Ametista;7,59;9,5;9,1;7,5;7,8;7,5;8;;7,11;5;2;-1;2022;;Ativo
RA-577;1;J;Aluno-577;10;Feminino;2022;Pública;Ametista;7,86;9,5;9,3;7,5;9;8,3;9,7;;7,11;5;2;-1;2022;;Ativo
RA-578;1;J;Aluno-578;10;Masculino;2019;Pública;Topázio;8,81;9,5;10;8,8;9,5;9,3;9,7;;9,61;5;2;-1;2022;;Ativo
RA-579;1;J;Aluno-579;10;Feminino;2022;Pública;Ágata;6,07;8,5;5,8;7,5;3,8;0;7,5;;7,22;5;2;-1;2022;;Ativo
RA-580;1;J;Aluno-580;10;Feminino;2020;Pública;Ametista;7,52;8;9,6;7,5;7,6;6,3;8,8;;7,17;5;2;-1;2022;;Ativo
RA-581;1;J;Aluno-581;10;Masculino;2019;Pública;Ágata;6,46;7,5;8,9;7,5;5;5,3;4,7;;5,89;5;2;-1;2022;;Ativo
RA-582;1;J;Aluno-582;10;Feminino;2022;Pública;Ametista;7,06;10;9;7,5;4,9;4,3;5,5;;7,22;5;2;-1;2022;;Ativo
RA-583;1;J;Aluno-583;12;Feminino;2019;Pública;Ametista;7,46;8,5;9,4;7,5;7,1;6,2;8;;7,33;5;3;-2;2022;;Ativo
RA-584;1;J;Aluno-584;10;Feminino;2019;Pública;Ágata;6,71;8;8,5;7,5;4,6;4,5;4,7;;7,33;5;2;-1;2022;;Ativo
RA-585;1;K;Aluno-585;9;Feminino;2020;Pública;Ametista;7,4;8,5;9,1;7,5;5;3,7;6,3;;6,89;10;1;0;2022;;Ativo
RA-586;1;K;Aluno-586;10;Feminino;2021;Privada;Ametista;7,99;10;9,6;5,6;8,2;8,2;8,2;;8,78;5;2;-1;2022;;Ativo
RA-587;1;K;Aluno-587;10;Masculino;2022;Pública;Ágata;6,63;9,5;9,3;7,5;3,8;1;6,5;;6,17;5;2;-1;2022;;Ativo
RA-588;1;K;Aluno-588;9;Feminino;2021;Privada;Topázio;8,62;9,5;10;5,6;9,3;9,3;9,2;;8,28;10;1;0;2022;;Ativo
RA-589;1;K;Aluno-589;9;Feminino;2022;Pública;Ametista;7,74;9,5;9,4;7,5;5,8;3;8,5;;7,06;10;1;0;2022;;Ativo
RA-590;1;K;Aluno-590;10;Feminino;2020;Pública;Ametista;7,44;8,5;8,6;7,5;7,4;5,7;9,2;;7,61;5;2;-1;2022;;Ativo
RA-591;1;K;Aluno-591;11;Masculino;2021;Pública;Ametista;7,51;9,5;9,3;7,5;7,1;7,8;6,3;;7,39;5;2;-1;2022;;Ativo
RA-592;1;K;Aluno-592;10;Feminino;2020;Pública;Ametista;7,38;8;8,5;5,6;8,4;7,2;9,7;;7,78;5;2;-1;2022;;Ativo
RA-593;1;K;Aluno-593;10;Feminino;2021;Pública;Ágata;6,25;7,5;7,4;7,5;4,6;3;6,2;;6,28;5;2;-1;2022;;Ativo
RA-594;1;K;Aluno-594;10;Masculino;2022;Pública;Ametista;7,39;8;9,4;7,5;7,8;6;9,5;;6,89;5;2;-1;2022;;Ativo
RA-595;1;K;Aluno-595;12;Masculino;2018;Pública;Quartzo;5,18;8,5;5,5;7,5;1;2;0;;6;5;3;-2;2022;;Ativo
RA-596;1;K;Aluno-596;9;Feminino;2021;Pública;Topázio;8,97;9,5;10;7,5;9,3;8,8;9,8;;9;10;1;0;2022;;Ativo
RA-597;1;L;Aluno-597;9;Masculino;2022;Pública;Topázio;8,26;9;10;7,5;8;6,5;9,5;;7,06;10;1;0;2022;;Ativo
RA-598;1;L;Aluno-598;11;Feminino;2022;Pública;Ágata;6,35;9,5;7,2;7,5;3,7;4,7;2,7;;6,94;5;2;-1;2022;;Ativo
RA-599;1;L;Aluno-599;10;Masculino;2022;Pública;Topázio;8,2;9,5;9,2;7,5;9,1;8,3;9,8;;8,56;5;2;-1;2022;;Ativo
RA-600;1;L;Aluno-600;9;Feminino;2021;Pública;Ágata;7,01;8,5;8,4;7,5;3,9;2,8;5;;6,83;10;1;0;2022;;Ativo
RA-601;1;L;Aluno-601;8;Masculino;2021;Pública;Ametista;7,71;9;9,7;7,5;5,7;5,3;6;;7,17;10;0;1;2022;;Ativo
RA-602;1;L;Aluno-602;11;Masculino;2019;Pública;Ametista;8,04;10;9,7;7,5;8,6;8,3;8,8;;7,67;5;2;-1;2022;;Ativo
RA-603;1;L;Aluno-603;11;Feminino;2022;Pública;Ametista;7,78;9;9,5;7,5;7,5;6,7;8,3;;8;5;2;-1;2022;;Ativo
RA-604;1;L;Aluno-604;10;Feminino;2021;Pública;Ametista;8,02;9;9;7,5;8,8;8;9,7;;8,33;5;2;-1;2022;;Ativo
RA-605;1;L;Aluno-605;12;Feminino;2021;Pública;Ametista;7,28;6,9;9,3;6,9;7,1;6,2;8;;7,56;5;3;-2;2022;;Ativo
RA-606;1;L;Aluno-606;10;Masculino;2022;Pública;Ágata;6,13;9,5;9;7,5;1,8;2;1,5;;6,11;5;2;-1;2022;;Ativo
RA-607;1;L;Aluno-607;10;Masculino;2022;Pública;Ágata;6,44;6,8;8,1;7,5;4;3;5;;7,44;5;2;-1;2022;;Ativo
RA-608;1;L;Aluno-608;10;Masculino;2022;Pública;Ametista;7,22;7,8;9,6;7,5;6,3;3;9,5;;7,22;5;2;-1;2022;;Ativo
RA-609;1;L;Aluno-609;11;Masculino;2019;Pública;Ágata;6,79;8,5;7,6;7,5;6;6,5;5,5;;7,06;5;2;-1;2022;;Ativo
RA-610;1;L;Aluno-610;9;Feminino;2022;Pública;Topázio;8,18;9;9,6;7,5;6,5;6;7;;8,5;10;1;0;2022;;Ativo
RA-611;1;M;Aluno-611;12;Masculino;2021;Pública;Ametista;7,76;9,5;7,6;7,5;9,5;10;9;;7,56;5;3;-2;2022;;Ativo
RA-612;1;M;Aluno-612;10;Feminino;2021;Pública;Ametista;7,59;9;9,2;7,5;7,9;9,7;6,2;;7,17;5;2;-1;2022;;Ativo
RA-613;1;M;Aluno-613;13;Masculino;2020;Pública;Topázio;8,12;9;9,2;7,5;9,2;9,2;9,2;;8,56;5;3;-2;2022;;Ativo
RA-614;1;M;Aluno-614;12;Masculino;2021;Pública;Topázio;8,34;9,5;9,7;7,5;9,6;9,8;9,3;;8,28;5;3;-2;2022;;Ativo
RA-615;1;M;Aluno-615;9;Feminino;2020;Pública;Topázio;8,09;9,5;9,7;7,5;7,3;7,8;6,7;;6,89;10;1;0;2022;;Ativo
RA-616;1;M;Aluno-616;12;Masculino;2019;Pública;Ametista;7,3;7,4;7,4;7,5;8,8;9,2;8,5;;7,28;5;3;-2;2022;;Ativo
RA-617;1;M;Aluno-617;11;Feminino;2021;Pública;Ametista;7,11;8,5;8,9;7,5;6,3;4,5;8;;6,78;5;2;-1;2022;;Ativo
RA-618;1;M;Aluno-618;13;Masculino;2020;Pública;Ametista;7,18;8,9;8,3;7,5;6,7;6,8;6,5;;7,33;5;3;-2;2022;;Ativo
RA-619;1;M;Aluno-619;11;Feminino;2021;Pública;Ametista;7,69;9,5;8;7,5;9;9,2;8,8;;7,33;5;2;-1;2022;;Ativo
RA-620;1;M;Aluno-620;12;Masculino;2021;Pública;Ágata;6,02;0;7,5;7,5;6,8;8,5;5;;6,83;5;3;-2;2022;;Ativo
RA-621;1;M;Aluno-621;10;Masculino;2020;Pública;Ametista;7,45;9,5;7,7;7,5;7,5;6,8;8,2;;8,22;5;2;-1;2022;;Ativo
RA-622;1;N;Aluno-622;12;Feminino;2019;Pública;Quartzo;4,93;3,5;3,8;7,5;3,8;4,8;2,7;;6;5;3;-2;2022;;Ativo
RA-623;1;N;Aluno-623;13;Masculino;2022;Pública;Ametista;7,52;7,5;9;7,5;8,3;9,3;7,2;;7,39;5;3;-2;2022;;Ativo
RA-624;1;N;Aluno-624;10;Masculino;2022;Pública;Ametista;7,42;9;8,9;7,5;6,8;8;5,5;;7,72;5;2;-1;2022;;Ativo
RA-625;1;N;Aluno-625;11;Masculino;2022;Pública;Ametista;7,48;8;9,2;7,5;7,8;8,5;7;;7,33;5;2;-1;2022;;Ativo
RA-626;1;N;Aluno-626;11;Masculino;2021;Pública;Quartzo;5,82;7,4;7,6;7,5;1,3;2,5;0;;7,28;5;2;-1;2022;;Ativo
RA-627;1;N;Aluno-627;10;Feminino;2022;Pública;Ágata;6,62;7;6,7;7,5;6,5;6,2;6,8;;7;5;2;-1;2022;;Ativo
RA-628;1;N;Aluno-628;11;Masculino;2022;Pública;Ametista;7,58;9,5;7,6;7,5;9,2;9,3;9;;7,33;5;2;-1;2022;;Ativo
RA-629;1;N;Aluno-629;9;Masculino;2022;Pública;Topázio;8,11;9;10;7,5;7;5;9;;7,28;10;1;0;2022;;Ativo
RA-630;1;N;Aluno-630;9;Masculino;2022;Pública;Topázio;8,06;9,5;9,2;7,5;7,3;6,5;8;;7,28;10;1;0;2022;;Ativo
RA-631;1;N;Aluno-631;12;Masculino;2022;Pública;Ágata;6,93;8,5;6,8;7,5;7;7,3;6,7;;7,22;5;3;-2;2022;;Ativo
RA-632;1;P;Aluno-632;10;Feminino;2022;Pública;Ágata;7;8,5;9,3;6,9;6,3;5,5;7,2;;6,72;5;2;-1;2022;;Ativo
RA-633;1;P;Aluno-633;11;Feminino;2020;Pública;Ametista;7,48;7,3;8,9;7,5;7,7;6,8;8,5;;7,83;5;2;-1;2022;;Ativo
RA-634;1;P;Aluno-634;11;Feminino;2022;Pública;Ametista;7,62;9,5;9,4;7,5;6,5;8;5;;8,22;5;2;-1;2022;;Ativo
RA-635;1;P;Aluno-635;10;Masculino;2022;Pública;Quartzo;5,31;10;4,9;6,9;1,5;0,5;2,5;;6,44;5;2;-1;2022;;Ativo
RA-636;1;P;Aluno-636;10;Masculino;2022;Pública;Ametista;7,19;8,5;8;6,9;7,3;7,3;7,3;;7,39;5;2;-1;2022;;Ativo
RA-637;1;P;Aluno-637;10;Feminino;2021;Pública;Ametista;7,04;8,5;9;7,5;5,8;4,8;6,8;;7;5;2;-1;2022;;Ativo
RA-638;1;P;Aluno-638;9;Feminino;2020;Pública;Ametista;7,06;8,5;9,3;7,5;3,9;2;5,8;;6,28;10;1;0;2022;;Ativo
RA-639;1;P;Aluno-639;10;Feminino;2021;Pública;Ágata;6,61;8,5;7,4;7,5;5,5;3,2;7,8;;6,61;5;2;-1;2022;;Ativo
RA-640;1;P;Aluno-640;11;Feminino;2022;Pública;Ágata;6,73;9;8,4;7,5;4,8;2,5;7;;6,78;5;2;-1;2022;;Ativo
RA-641;1;P;Aluno-641;9;Feminino;2022;Pública;Ametista;7,78;9;9,3;7,5;6,5;4,5;8,5;;6,78;10;1;0;2022;;Ativo
RA-642;1;P;Aluno-642;10;Feminino;2021;Pública;Ametista;7,75;10;9,7;6,9;7,3;7;7,7;;7,78;5;2;-1;2022;;Ativo
RA-643;1;P;Aluno-643;10;Masculino;2022;Pública;Ágata;6,76;9;8;7,5;6,2;6,3;6;;6,72;5;2;-1;2022;;Ativo
RA-644;1;P;Aluno-644;11;Feminino;2021;Pública;Ametista;7,83;9,5;8;7,5;8,8;9,7;8;;8,28;5;2;-1;2022;;Ativo
RA-645;1;P;Aluno-645;10;Feminino;2022;Pública;Ágata;6,09;8,5;8,1;7,5;2;4;0;;6,83;5;2;-1;2022;;Ativo
RA-646;1;R;Aluno-646;13;Masculino;2019;Pública;Topázio;8,18;8,5;9,8;8,1;8,4;8,8;8;;8,39;5;3;-2;2022;;Ativo
RA-647;1;R;Aluno-647;10;Masculino;2022;Pública;Ágata;6,61;9,5;8,6;7,5;3,3;1,5;5,2;;7,28;5;2;-1;2022;;Ativo
RA-648;1;R;Aluno-648;12;Masculino;2019;Pública;Ágata;6,74;9;7,5;6,9;5,3;5;5,5;;7,5;5;3;-2;2022;;Ativo
RA-649;1;R;Aluno-649;12;Feminino;2019;Pública;Ametista;7,3;8,5;8,9;5,6;7,4;6,3;8,5;;7,61;5;3;-2;2022;;Ativo
RA-650;1;R;Aluno-650;11;Feminino;2021;Pública;Ágata;7;6,9;8,7;5,6;6,9;5,5;8,3;;7,5;5;2;-1;2022;;Ativo
RA-651;1;R;Aluno-651;10;Feminino;2022;Pública;Ametista;7,87;8,5;9,3;7,5;7,8;7,7;7,8;;8,33;5;2;-1;2022;;Ativo
RA-652;1;R;Aluno-652;9;Feminino;2022;Pública;Topázio;8,15;8;9,6;7,5;7,8;7;8,5;;7,5;10;1;0;2022;;Ativo
RA-653;1;R;Aluno-653;11;Feminino;2022;Pública;Topázio;8,1;9,5;9,6;7,5;9,3;9,5;9;;7,5;5;2;-1;2022;;Ativo
RA-654;1;R;Aluno-654;12;Feminino;2022;Pública;Ametista;7,31;8,5;8,6;7,5;6,8;5,5;8;;7,56;5;3;-2;2022;;Ativo
RA-655;1;R;Aluno-655;12;Feminino;2019;Pública;Ametista;7,78;7,5;9,2;7,5;8,3;8,3;8,2;;8,39;5;3;-2;2022;;Ativo
RA-656;1;R;Aluno-656;11;Feminino;2020;Pública;Ágata;6,65;7,4;7,5;5,6;6,3;5;7,5;;7,5;5;2;-1;2022;;Ativo
RA-657;1;R;Aluno-657;12;Feminino;2021;Pública;Topázio;8,09;9,5;9,8;7,5;9;9;9;;7,5;5;3;-2;2022;;Ativo
RA-658;1;U;Aluno-658;10;Feminino;2022;Pública;Ametista;7,41;10;9,3;7,5;5,6;4,7;6,5;;7,92;5;2;-1;2022;;Ativo
RA-659;1;U;Aluno-659;10;Feminino;2022;Pública;Ametista;7,78;8;7,8;7,5;9,3;9,5;9;;8,33;5;2;-1;2022;;Ativo
RA-660;1;U;Aluno-660;9;Feminino;2021;Pública;Topázio;8,36;9,5;9;7,5;6,9;5,8;8;;9,08;10;1;0;2022;;Ativo
RA-661;1;U;Aluno-661;11;Masculino;2022;Pública;Ametista;7,59;9;8,3;7,5;7,8;8,3;7,3;;7,92;5;2;-1;2022;;Ativo
RA-662;1;U;Aluno-662;11;Feminino;2022;Pública;Ametista;7,04;9;8,8;7,5;6,8;5,7;7,8;;6,08;5;2;-1;2022;;Ativo
RA-663;1;U;Aluno-663;10;Masculino;2022;Pública;Ágata;6,38;6,9;8,7;7,5;5,8;5;6,5;;5,25;5;2;-1;2022;;Ativo
RA-664;1;U;Aluno-664;10;Feminino;2022;Pública;Ametista;7,28;9,5;8,8;7,5;6,3;5;7,5;;7,17;5;2;-1;2022;;Ativo
RA-665;1;U;Aluno-665;11;Feminino;2022;Pública;Ágata;7;9;7,4;7,5;6,8;6,5;7;;7,25;5;2;-1;2022;;Ativo
RA-666;1;U;Aluno-666;10;Masculino;2022;Pública;Ametista;7,93;9,5;9,1;7,5;7,8;8;7,5;;8,83;5;2;-1;2022;;Ativo
RA-667;1;U;Aluno-667;11;Masculino;2021;Pública;Quartzo;5,84;8,5;5,6;7,5;4,5;3,7;5,3;;5,83;5;2;-1;2022;;Ativo
RA-668;1;U;Aluno-668;11;Masculino;2022;Pública;Quartzo;4,36;6,9;3,3;7,5;2,8;2,8;2,8;;3,75;5;2;-1;2022;;Ativo
RA-669;1;U;Aluno-669;11;Masculino;2022;Pública;Ametista;7,48;9;9,7;7,5;6;5;7;;7,83;5;2;-1;2022;;Ativo
RA-670;1;U;Aluno-670;10;Feminino;2022;Pública;Ametista;7,45;8;8,8;7,5;6,9;6,5;7,3;;8,17;5;2;-1;2022;;Ativo
RA-671;0;A;Aluno-671;9;Masculino;2021;Pública;Ametista;7,62;8,5;8,2;8,1;8,8;8,8;8,8;;7,42;5;1;-1;2022;;Ativo
RA-672;0;A;Aluno-672;9;Feminino;2021;Pública;Ametista;7,48;8,5;8,5;8,1;8,8;8,5;9,1;;6,75;5;1;-1;2022;;Ativo
RA-673;0;A;Aluno-673;8;Feminino;2022;Pública;Topázio;8,65;8,5;9,2;8,1;9,2;9,4;8,9;;8,58;10;0;0;2022;;Ativo
RA-674;0;A;Aluno-674;8;Masculino;2022;Pública;Ametista;7,86;9,5;8,7;8,1;8;8,9;7;;6,33;10;0;0;2022;;Ativo
RA-675;0;A;Aluno-675;8;Masculino;2022;Pública;Ametista;7,58;10;6,6;8,1;7,4;8,8;5,9;;7,08;10;0;0;2022;;Ativo
RA-676;0;A;Aluno-676;9;Masculino;2021;Pública;Ametista;7,91;8,5;8,6;8,1;9,3;9,5;9,1;;8,17;5;1;-1;2022;;Ativo
RA-677;0;B;Aluno-677;8;Feminino;2021;Pública;Topázio;8,36;10;9,4;7,5;7,3;7,7;6,8;;8,58;10;0;0;2022;;Ativo
RA-678;0;B;Aluno-678;9;Masculino;2022;Pública;Ametista;8;9;10;6,9;7,3;7,5;7;;9,5;5;1;-1;2022;;Ativo
RA-679;0;B;Aluno-679;10;Masculino;2020;Pública;Ametista;7,17;9;8,2;7,5;6,3;6,7;5,8;;7,83;5;2;-2;2022;;Ativo
RA-680;0;B;Aluno-680;10;Feminino;2019;Pública;Ametista;7,52;9,5;8,8;7,5;7,4;8;6,8;;7,75;5;2;-2;2022;;Ativo
RA-681;0;B;Aluno-681;10;Masculino;2022;Pública;Ametista;7,2;8,5;8,5;6,9;6,5;6,5;6,5;;8;5;2;-2;2022;;Ativo
RA-682;0;B;Aluno-682;11;Masculino;2022;Pública;Ametista;7,62;9,5;9,1;7,5;7;7;7;;8,08;5;2;-2;2022;;Ativo
RA-683;0;C;Aluno-683;10;Masculino;2022;Pública;Ágata;6,01;7,9;5;7,5;4;8;0;;8,08;5;2;-2;2022;;Ativo
RA-684;0;C;Aluno-684;7;Masculino;2022;Pública;Topázio;8,26;9,5;7,5;8,1;9,3;9;9,6;;7,92;10;0;0;2022;;Ativo
RA-685;0;C;Aluno-685;9;Masculino;2022;Pública;Ágata;6,86;9;6,2;5;8;8;8;;7,83;5;1;-1;2022;;Ativo
RA-686;0;D;Aluno-686;9;Feminino;2022;Pública;Ametista;7,73;7,5;8,6;8,1;8,8;9,2;8,5;;8,08;5;1;-1;2022;;Ativo
RA-687;0;D;Aluno-687;9;Masculino;2022;Pública;Ametista;7,7;8,5;9;8,1;8,3;9;7,5;;8;5;1;-1;2022;;Ativo
RA-688;0;D;Aluno-688;9;Masculino;2022;Pública;Ametista;7,77;8,5;9,7;7,5;7,9;8;7,8;;7,92;5;1;-1;2022;;Ativo
RA-689;0;D;Aluno-689;9;Feminino;2022;Pública;Ágata;6,43;7,4;7,9;5,6;5,8;6;5,5;;6,67;5;1;-1;2022;;Ativo
RA-690;0;D;Aluno-690;9;Feminino;2022;Pública;Ametista;7,54;9,5;9,5;7,5;7;7,2;6,8;;7,42;5;1;-1;2022;;Ativo
RA-691;0;D;Aluno-691;8;Feminino;2022;Pública;Topázio;8,68;10;9,2;8,1;9,4;9,6;9,3;;7,92;10;0;0;2022;;Ativo
RA-692;0;D;Aluno-692;9;Feminino;2021;Pública;Ametista;7,57;9,5;8,9;8,1;6,9;7;6,8;;7,92;5;1;-1;2022;;Ativo
RA-693;0;D;Aluno-693;7;Feminino;2022;Pública;Ametista;7,94;9,5;9,8;8,1;5,7;5;6,3;;7,67;10;0;0;2022;;Ativo
RA-694;0;D;Aluno-694;8;Masculino;2022;Pública;Topázio;8,38;10;9;8,1;8,1;8,2;8;;7,92;10;0;0;2022;;Ativo
RA-695;0;E;Aluno-695;8;Feminino;2021;Pública;Quartzo;4,28;9;3,1;7,5;2,5;2,2;2,8;;2,5;10;0;0;2022;;Ativo
RA-696;0;E;Aluno-696;9;Feminino;2021;Pública;Ametista;7,44;8,5;9;7,5;6,6;6,5;6,7;;8,17;5;1;-1;2022;;Ativo
RA-697;0;E;Aluno-697;11;Masculino;2021;Pública;Ametista;7,68;7;9,3;7,5;8,4;8,8;8;;8,08;5;2;-2;2022;;Ativo
RA-698;0;E;Aluno-698;9;Masculino;2021;Pública;Ametista;7,44;9;9,8;2,5;8,1;8;8,2;;8,08;5;1;-1;2022;;Ativo
RA-699;0;E;Aluno-699;9;Masculino;2022;Pública;Ágata;6,66;5,2;9,2;7,5;7,1;7,5;6,7;;6;5;1;-1;2022;;Ativo
